time,package_id,task_id,status,x,y
2,2,2,at_pickup_point,45.0,20.0
2,3,3,at_pickup_point,15.0,30.0
2,4,4,at_pickup_point,47.0,16.0
2,5,5,at_pickup_point,15.0,47.0
2,6,6,at_pickup_point,64.0,42.0
2,7,7,at_pickup_point,15.0,10.0
2,8,8,at_pickup_point,27.0,69.0
2,9,9,at_pickup_point,62.0,77.0
2,10,10,at_pickup_point,15.0,60.0
2,11,11,at_pickup_point,10.0,20.0
2,12,12,at_pickup_point,12.0,24.0
2,13,13,at_pickup_point,44.0,17.0
2,14,14,at_pickup_point,26.0,27.0
2,15,15,at_pickup_point,13.0,52.0
2,16,16,at_pickup_point,20.0,65.0
2,17,17,at_pickup_point,4.0,18.0
2,18,18,at_pickup_point,32.0,12.0
2,19,19,at_pickup_point,65.0,55.0
2,20,20,at_pickup_point,47.0,47.0
2,21,21,at_pickup_point,55.0,45.0
2,22,22,at_pickup_point,67.0,5.0
2,23,23,at_pickup_point,40.0,25.0
2,24,24,at_pickup_point,61.0,52.0
2,25,25,at_pickup_point,45.0,30.0
2,26,26,at_pickup_point,20.0,20.0
2,27,27,at_pickup_point,22.0,27.0
2,28,28,at_pickup_point,45.0,10.0
2,29,29,at_pickup_point,25.0,30.0
2,30,30,at_pickup_point,10.0,43.0
2,31,31,at_pickup_point,55.0,60.0
2,32,32,at_pickup_point,26.0,35.0
2,33,33,at_pickup_point,45.0,65.0
2,34,34,at_pickup_point,11.0,31.0
2,35,35,at_pickup_point,65.0,35.0
2,36,36,at_pickup_point,6.0,68.0
2,37,37,at_pickup_point,17.0,34.0
2,38,38,at_pickup_point,23.0,3.0
2,39,39,at_pickup_point,35.0,69.0
2,40,40,at_pickup_point,56.0,39.0
2,41,41,at_pickup_point,63.0,23.0
2,42,42,at_pickup_point,63.0,65.0
2,43,43,at_pickup_point,37.0,56.0
2,44,44,at_pickup_point,30.0,25.0
2,45,45,at_pickup_point,53.0,43.0
2,46,46,at_pickup_point,18.0,18.0
2,47,47,at_pickup_point,65.0,20.0
3,0,0,at_pickup_point,50.0,35.0
3,1,1,at_pickup_point,35.0,17.0
3,2,2,at_pickup_point,45.0,20.0
3,3,3,at_pickup_point,15.0,30.0
3,4,4,at_pickup_point,47.0,16.0
3,5,5,at_pickup_point,15.0,47.0
3,6,6,at_pickup_point,64.0,42.0
3,7,7,at_pickup_point,15.0,10.0
3,8,8,at_pickup_point,27.0,69.0
3,9,9,at_pickup_point,62.0,77.0
3,10,10,at_pickup_point,15.0,60.0
3,11,11,at_pickup_point,10.0,20.0
3,12,12,at_pickup_point,12.0,24.0
3,13,13,at_pickup_point,44.0,17.0
3,14,14,at_pickup_point,26.0,27.0
3,15,15,at_pickup_point,13.0,52.0
3,16,16,at_pickup_point,20.0,65.0
3,17,17,at_pickup_point,4.0,18.0
3,18,18,at_pickup_point,32.0,12.0
3,19,19,at_pickup_point,65.0,55.0
3,20,20,at_pickup_point,47.0,47.0
3,21,21,at_pickup_point,55.0,45.0
3,22,22,at_pickup_point,67.0,5.0
3,23,23,at_pickup_point,40.0,25.0
3,24,24,at_pickup_point,61.0,52.0
3,25,25,at_pickup_point,45.0,30.0
3,26,26,at_pickup_point,20.0,20.0
3,27,27,at_pickup_point,22.0,27.0
3,28,28,at_pickup_point,45.0,10.0
3,29,29,at_pickup_point,25.0,30.0
3,30,30,at_pickup_point,10.0,43.0
3,31,31,at_pickup_point,55.0,60.0
3,32,32,at_pickup_point,26.0,35.0
3,33,33,at_pickup_point,45.0,65.0
3,34,34,at_pickup_point,11.0,31.0
3,35,35,at_pickup_point,65.0,35.0
3,36,36,at_pickup_point,6.0,68.0
3,37,37,at_pickup_point,17.0,34.0
3,38,38,at_pickup_point,23.0,3.0
3,39,39,at_pickup_point,35.0,69.0
3,40,40,at_pickup_point,56.0,39.0
3,41,41,at_pickup_point,63.0,23.0
3,42,42,at_pickup_point,63.0,65.0
3,43,43,at_pickup_point,37.0,56.0
3,44,44,at_pickup_point,30.0,25.0
3,45,45,at_pickup_point,53.0,43.0
3,46,46,at_pickup_point,18.0,18.0
3,47,47,at_pickup_point,65.0,20.0
4,0,0,at_pickup_point,50.0,35.0
4,1,1,at_pickup_point,35.0,17.0
4,2,2,at_pickup_point,45.0,20.0
4,3,3,at_pickup_point,15.0,30.0
4,4,4,at_pickup_point,47.0,16.0
4,5,5,at_pickup_point,15.0,47.0
4,6,6,at_pickup_point,64.0,42.0
4,7,7,at_pickup_point,15.0,10.0
4,8,8,at_pickup_point,27.0,69.0
4,9,9,at_pickup_point,62.0,77.0
4,10,10,at_pickup_point,15.0,60.0
4,11,11,at_pickup_point,10.0,20.0
4,12,12,at_pickup_point,12.0,24.0
4,13,13,at_pickup_point,44.0,17.0
4,14,14,at_pickup_point,26.0,27.0
4,15,15,at_pickup_point,13.0,52.0
4,16,16,at_pickup_point,20.0,65.0
4,17,17,at_pickup_point,4.0,18.0
4,18,18,at_pickup_point,32.0,12.0
4,19,19,at_pickup_point,65.0,55.0
4,20,20,at_pickup_point,47.0,47.0
4,21,21,at_pickup_point,55.0,45.0
4,22,22,at_pickup_point,67.0,5.0
4,23,23,at_pickup_point,40.0,25.0
4,24,24,at_pickup_point,61.0,52.0
4,25,25,at_pickup_point,45.0,30.0
4,26,26,at_pickup_point,20.0,20.0
4,27,27,at_pickup_point,22.0,27.0
4,28,28,at_pickup_point,45.0,10.0
4,29,29,at_pickup_point,25.0,30.0
4,30,30,at_pickup_point,10.0,43.0
4,31,31,at_pickup_point,55.0,60.0
4,32,32,at_pickup_point,26.0,35.0
4,33,33,at_pickup_point,45.0,65.0
4,34,34,at_pickup_point,11.0,31.0
4,35,35,at_pickup_point,65.0,35.0
4,36,36,at_pickup_point,6.0,68.0
4,37,37,at_pickup_point,17.0,34.0
4,38,38,at_pickup_point,23.0,3.0
4,39,39,at_pickup_point,35.0,69.0
4,40,40,at_pickup_point,56.0,39.0
4,41,41,at_pickup_point,63.0,23.0
4,42,42,at_pickup_point,63.0,65.0
4,43,43,at_pickup_point,37.0,56.0
4,44,44,at_pickup_point,30.0,25.0
4,45,45,at_pickup_point,53.0,43.0
4,46,46,at_pickup_point,18.0,18.0
4,47,47,at_pickup_point,65.0,20.0
5,0,0,at_pickup_point,50.0,35.0
5,1,1,at_pickup_point,35.0,17.0
5,2,2,at_pickup_point,45.0,20.0
5,3,3,at_pickup_point,15.0,30.0
5,4,4,at_pickup_point,47.0,16.0
5,5,5,at_pickup_point,15.0,47.0
5,6,6,at_pickup_point,64.0,42.0
5,7,7,at_pickup_point,15.0,10.0
5,8,8,at_pickup_point,27.0,69.0
5,9,9,at_pickup_point,62.0,77.0
5,10,10,at_pickup_point,15.0,60.0
5,11,11,at_pickup_point,10.0,20.0
5,12,12,at_pickup_point,12.0,24.0
5,13,13,at_pickup_point,44.0,17.0
5,14,14,at_pickup_point,26.0,27.0
5,15,15,at_pickup_point,13.0,52.0
5,16,16,at_pickup_point,20.0,65.0
5,17,17,at_pickup_point,4.0,18.0
5,18,18,at_pickup_point,32.0,12.0
5,19,19,at_pickup_point,65.0,55.0
5,20,20,at_pickup_point,47.0,47.0
5,21,21,at_pickup_point,55.0,45.0
5,22,22,at_pickup_point,67.0,5.0
5,23,23,at_pickup_point,40.0,25.0
5,24,24,at_pickup_point,61.0,52.0
5,25,25,at_pickup_point,45.0,30.0
5,26,26,at_pickup_point,20.0,20.0
5,27,27,at_pickup_point,22.0,27.0
5,28,28,at_pickup_point,45.0,10.0
5,29,29,at_pickup_point,25.0,30.0
5,30,30,at_pickup_point,10.0,43.0
5,31,31,at_pickup_point,55.0,60.0
5,32,32,at_pickup_point,26.0,35.0
5,33,33,at_pickup_point,45.0,65.0
5,34,34,at_pickup_point,11.0,31.0
5,35,35,at_pickup_point,65.0,35.0
5,36,36,at_pickup_point,6.0,68.0
5,37,37,at_pickup_point,17.0,34.0
5,38,38,at_pickup_point,23.0,3.0
5,39,39,at_pickup_point,35.0,69.0
5,40,40,at_pickup_point,56.0,39.0
5,41,41,at_pickup_point,63.0,23.0
5,42,42,at_pickup_point,63.0,65.0
5,43,43,at_pickup_point,37.0,56.0
5,44,44,at_pickup_point,30.0,25.0
5,45,45,at_pickup_point,53.0,43.0
5,46,46,at_pickup_point,18.0,18.0
5,47,47,at_pickup_point,65.0,20.0
6,0,0,at_pickup_point,50.0,35.0
6,1,1,at_pickup_point,35.0,17.0
6,2,2,at_pickup_point,45.0,20.0
6,3,3,at_pickup_point,15.0,30.0
6,4,4,at_pickup_point,47.0,16.0
6,5,5,at_pickup_point,15.0,47.0
6,6,6,at_pickup_point,64.0,42.0
6,7,7,at_pickup_point,15.0,10.0
6,8,8,at_pickup_point,27.0,69.0
6,9,9,at_pickup_point,62.0,77.0
6,10,10,at_pickup_point,15.0,60.0
6,11,11,at_pickup_point,10.0,20.0
6,12,12,at_pickup_point,12.0,24.0
6,13,13,at_pickup_point,44.0,17.0
6,14,14,at_pickup_point,26.0,27.0
6,15,15,at_pickup_point,13.0,52.0
6,16,16,at_pickup_point,20.0,65.0
6,17,17,at_pickup_point,4.0,18.0
6,18,18,at_pickup_point,32.0,12.0
6,19,19,at_pickup_point,65.0,55.0
6,20,20,at_pickup_point,47.0,47.0
6,21,21,at_pickup_point,55.0,45.0
6,22,22,at_pickup_point,67.0,5.0
6,23,23,at_pickup_point,40.0,25.0
6,24,24,at_pickup_point,61.0,52.0
6,25,25,at_pickup_point,45.0,30.0
6,26,26,at_pickup_point,20.0,20.0
6,27,27,at_pickup_point,22.0,27.0
6,28,28,at_pickup_point,45.0,10.0
6,29,29,at_pickup_point,25.0,30.0
6,30,30,at_pickup_point,10.0,43.0
6,31,31,at_pickup_point,55.0,60.0
6,32,32,at_pickup_point,26.0,35.0
6,33,33,at_pickup_point,45.0,65.0
6,34,34,at_pickup_point,11.0,31.0
6,35,35,at_pickup_point,65.0,35.0
6,36,36,at_pickup_point,6.0,68.0
6,37,37,at_pickup_point,17.0,34.0
6,38,38,at_pickup_point,23.0,3.0
6,39,39,at_pickup_point,35.0,69.0
6,40,40,at_pickup_point,56.0,39.0
6,41,41,at_pickup_point,63.0,23.0
6,42,42,at_pickup_point,63.0,65.0
6,43,43,at_pickup_point,37.0,56.0
6,44,44,at_pickup_point,30.0,25.0
6,45,45,at_pickup_point,53.0,43.0
6,46,46,at_pickup_point,18.0,18.0
6,47,47,at_pickup_point,65.0,20.0
7,0,0,at_pickup_point,50.0,35.0
7,1,1,at_pickup_point,35.0,17.0
7,2,2,at_pickup_point,45.0,20.0
7,3,3,at_pickup_point,15.0,30.0
7,4,4,at_pickup_point,47.0,16.0
7,5,5,at_pickup_point,15.0,47.0
7,6,6,at_pickup_point,64.0,42.0
7,7,7,at_pickup_point,15.0,10.0
7,8,8,at_pickup_point,27.0,69.0
7,9,9,at_pickup_point,62.0,77.0
7,10,10,at_pickup_point,15.0,60.0
7,11,11,at_pickup_point,10.0,20.0
7,12,12,at_pickup_point,12.0,24.0
7,13,13,at_pickup_point,44.0,17.0
7,14,14,at_pickup_point,26.0,27.0
7,15,15,at_pickup_point,13.0,52.0
7,16,16,at_pickup_point,20.0,65.0
7,17,17,at_pickup_point,4.0,18.0
7,18,18,at_pickup_point,32.0,12.0
7,19,19,at_pickup_point,65.0,55.0
7,20,20,at_pickup_point,47.0,47.0
7,21,21,at_pickup_point,55.0,45.0
7,22,22,at_pickup_point,67.0,5.0
7,23,23,at_pickup_point,40.0,25.0
7,24,24,at_pickup_point,61.0,52.0
7,25,25,at_pickup_point,45.0,30.0
7,26,26,at_pickup_point,20.0,20.0
7,27,27,at_pickup_point,22.0,27.0
7,28,28,at_pickup_point,45.0,10.0
7,29,29,at_pickup_point,25.0,30.0
7,30,30,at_pickup_point,10.0,43.0
7,31,31,at_pickup_point,55.0,60.0
7,32,32,at_pickup_point,26.0,35.0
7,33,33,at_pickup_point,45.0,65.0
7,34,34,at_pickup_point,11.0,31.0
7,35,35,at_pickup_point,65.0,35.0
7,36,36,at_pickup_point,6.0,68.0
7,37,37,at_pickup_point,17.0,34.0
7,38,38,at_pickup_point,23.0,3.0
7,39,39,at_pickup_point,35.0,69.0
7,40,40,at_pickup_point,56.0,39.0
7,41,41,at_pickup_point,63.0,23.0
7,42,42,at_pickup_point,63.0,65.0
7,43,43,at_pickup_point,37.0,56.0
7,44,44,at_pickup_point,30.0,25.0
7,45,45,at_pickup_point,53.0,43.0
7,46,46,at_pickup_point,18.0,18.0
7,47,47,at_pickup_point,65.0,20.0
8,0,0,at_pickup_point,50.0,35.0
8,1,1,at_pickup_point,35.0,17.0
8,2,2,at_pickup_point,45.0,20.0
8,3,3,at_pickup_point,15.0,30.0
8,4,4,at_pickup_point,47.0,16.0
8,5,5,at_pickup_point,15.0,47.0
8,6,6,at_pickup_point,64.0,42.0
8,7,7,at_pickup_point,15.0,10.0
8,8,8,at_pickup_point,27.0,69.0
8,9,9,at_pickup_point,62.0,77.0
8,10,10,at_pickup_point,15.0,60.0
8,11,11,at_pickup_point,10.0,20.0
8,12,12,at_pickup_point,12.0,24.0
8,13,13,at_pickup_point,44.0,17.0
8,14,14,at_pickup_point,26.0,27.0
8,15,15,at_pickup_point,13.0,52.0
8,16,16,at_pickup_point,20.0,65.0
8,17,17,at_pickup_point,4.0,18.0
8,18,18,at_pickup_point,32.0,12.0
8,19,19,at_pickup_point,65.0,55.0
8,20,20,at_pickup_point,47.0,47.0
8,21,21,at_pickup_point,55.0,45.0
8,22,22,at_pickup_point,67.0,5.0
8,23,23,at_pickup_point,40.0,25.0
8,24,24,at_pickup_point,61.0,52.0
8,25,25,at_pickup_point,45.0,30.0
8,26,26,at_pickup_point,20.0,20.0
8,27,27,at_pickup_point,22.0,27.0
8,28,28,at_pickup_point,45.0,10.0
8,29,29,at_pickup_point,25.0,30.0
8,30,30,at_pickup_point,10.0,43.0
8,31,31,at_pickup_point,55.0,60.0
8,32,32,at_pickup_point,26.0,35.0
8,33,33,at_pickup_point,45.0,65.0
8,34,34,at_pickup_point,11.0,31.0
8,35,35,at_pickup_point,65.0,35.0
8,36,36,at_pickup_point,6.0,68.0
8,37,37,at_pickup_point,17.0,34.0
8,38,38,at_pickup_point,23.0,3.0
8,39,39,at_pickup_point,35.0,69.0
8,40,40,at_pickup_point,56.0,39.0
8,41,41,at_pickup_point,63.0,23.0
8,42,42,at_pickup_point,63.0,65.0
8,43,43,at_pickup_point,37.0,56.0
8,44,44,at_pickup_point,30.0,25.0
8,45,45,at_pickup_point,53.0,43.0
8,46,46,at_pickup_point,18.0,18.0
8,47,47,at_pickup_point,65.0,20.0
9,0,0,at_pickup_point,50.0,35.0
9,1,1,at_pickup_point,35.0,17.0
9,2,2,at_pickup_point,45.0,20.0
9,3,3,at_pickup_point,15.0,30.0
9,4,4,at_pickup_point,47.0,16.0
9,5,5,at_pickup_point,15.0,47.0
9,6,6,at_pickup_point,64.0,42.0
9,7,7,at_pickup_point,15.0,10.0
9,8,8,at_pickup_point,27.0,69.0
9,9,9,at_pickup_point,62.0,77.0
9,10,10,at_pickup_point,15.0,60.0
9,11,11,at_pickup_point,10.0,20.0
9,12,12,at_pickup_point,12.0,24.0
9,13,13,at_pickup_point,44.0,17.0
9,14,14,at_pickup_point,26.0,27.0
9,15,15,at_pickup_point,13.0,52.0
9,16,16,at_pickup_point,20.0,65.0
9,17,17,at_pickup_point,4.0,18.0
9,18,18,at_pickup_point,32.0,12.0
9,19,19,at_pickup_point,65.0,55.0
9,20,20,at_pickup_point,47.0,47.0
9,21,21,at_pickup_point,55.0,45.0
9,22,22,at_pickup_point,67.0,5.0
9,23,23,at_pickup_point,40.0,25.0
9,24,24,at_pickup_point,61.0,52.0
9,25,25,at_pickup_point,45.0,30.0
9,26,26,at_pickup_point,20.0,20.0
9,27,27,at_pickup_point,22.0,27.0
9,28,28,at_pickup_point,45.0,10.0
9,29,29,at_pickup_point,25.0,30.0
9,30,30,at_pickup_point,10.0,43.0
9,31,31,at_pickup_point,55.0,60.0
9,32,32,at_pickup_point,26.0,35.0
9,33,33,at_pickup_point,45.0,65.0
9,34,34,at_pickup_point,11.0,31.0
9,35,35,at_pickup_point,65.0,35.0
9,36,36,at_pickup_point,6.0,68.0
9,37,37,at_pickup_point,17.0,34.0
9,38,38,at_pickup_point,23.0,3.0
9,39,39,at_pickup_point,35.0,69.0
9,40,40,at_pickup_point,56.0,39.0
9,41,41,at_pickup_point,63.0,23.0
9,42,42,at_pickup_point,63.0,65.0
9,43,43,at_pickup_point,37.0,56.0
9,44,44,at_pickup_point,30.0,25.0
9,45,45,at_pickup_point,53.0,43.0
9,46,46,at_pickup_point,18.0,18.0
9,47,47,at_pickup_point,65.0,20.0
10,0,0,at_pickup_point,50.0,35.0
10,1,1,at_pickup_point,35.0,17.0
10,2,2,at_pickup_point,45.0,20.0
10,3,3,at_pickup_point,15.0,30.0
10,4,4,at_pickup_point,47.0,16.0
10,5,5,at_pickup_point,15.0,47.0
10,6,6,at_pickup_point,64.0,42.0
10,7,7,at_pickup_point,15.0,10.0
10,8,8,at_pickup_point,27.0,69.0
10,9,9,at_pickup_point,62.0,77.0
10,10,10,at_pickup_point,15.0,60.0
10,11,11,at_pickup_point,10.0,20.0
10,12,12,at_pickup_point,12.0,24.0
10,13,13,at_pickup_point,44.0,17.0
10,14,14,at_pickup_point,26.0,27.0
10,15,15,at_pickup_point,13.0,52.0
10,16,16,at_pickup_point,20.0,65.0
10,17,17,at_pickup_point,4.0,18.0
10,18,18,at_pickup_point,32.0,12.0
10,19,19,at_pickup_point,65.0,55.0
10,20,20,at_pickup_point,47.0,47.0
10,21,21,at_pickup_point,55.0,45.0
10,22,22,at_pickup_point,67.0,5.0
10,23,23,at_pickup_point,40.0,25.0
10,24,24,at_pickup_point,61.0,52.0
10,25,25,at_pickup_point,45.0,30.0
10,26,26,at_pickup_point,20.0,20.0
10,27,27,at_pickup_point,22.0,27.0
10,28,28,at_pickup_point,45.0,10.0
10,29,29,at_pickup_point,25.0,30.0
10,30,30,at_pickup_point,10.0,43.0
10,31,31,at_pickup_point,55.0,60.0
10,32,32,at_pickup_point,26.0,35.0
10,33,33,at_pickup_point,45.0,65.0
10,34,34,at_pickup_point,11.0,31.0
10,35,35,at_pickup_point,65.0,35.0
10,36,36,at_pickup_point,6.0,68.0
10,37,37,at_pickup_point,17.0,34.0
10,38,38,at_pickup_point,23.0,3.0
10,39,39,at_pickup_point,35.0,69.0
10,40,40,at_pickup_point,56.0,39.0
10,41,41,at_pickup_point,63.0,23.0
10,42,42,at_pickup_point,63.0,65.0
10,43,43,at_pickup_point,37.0,56.0
10,44,44,at_pickup_point,30.0,25.0
10,45,45,at_pickup_point,53.0,43.0
10,46,46,at_pickup_point,18.0,18.0
10,47,47,at_pickup_point,65.0,20.0
11,0,0,at_pickup_point,50.0,35.0
11,1,1,at_pickup_point,35.0,17.0
11,2,2,at_pickup_point,45.0,20.0
11,3,3,at_pickup_point,15.0,30.0
11,4,4,at_pickup_point,47.0,16.0
11,5,5,at_pickup_point,15.0,47.0
11,6,6,at_pickup_point,64.0,42.0
11,7,7,at_pickup_point,15.0,10.0
11,8,8,at_pickup_point,27.0,69.0
11,9,9,at_pickup_point,62.0,77.0
11,10,10,at_pickup_point,15.0,60.0
11,11,11,at_pickup_point,10.0,20.0
11,12,12,at_pickup_point,12.0,24.0
11,13,13,at_pickup_point,44.0,17.0
11,14,14,at_pickup_point,26.0,27.0
11,15,15,at_pickup_point,13.0,52.0
11,16,16,at_pickup_point,20.0,65.0
11,17,17,at_pickup_point,4.0,18.0
11,18,18,at_pickup_point,32.0,12.0
11,19,19,at_pickup_point,65.0,55.0
11,20,20,at_pickup_point,47.0,47.0
11,21,21,at_pickup_point,55.0,45.0
11,22,22,at_pickup_point,67.0,5.0
11,23,23,at_pickup_point,40.0,25.0
11,24,24,at_pickup_point,61.0,52.0
11,25,25,at_pickup_point,45.0,30.0
11,26,26,at_pickup_point,20.0,20.0
11,27,27,at_pickup_point,22.0,27.0
11,28,28,at_pickup_point,45.0,10.0
11,29,29,at_pickup_point,25.0,30.0
11,30,30,at_pickup_point,10.0,43.0
11,31,31,at_pickup_point,55.0,60.0
11,32,32,at_pickup_point,26.0,35.0
11,33,33,at_pickup_point,45.0,65.0
11,34,34,at_pickup_point,11.0,31.0
11,35,35,at_pickup_point,65.0,35.0
11,36,36,at_pickup_point,6.0,68.0
11,37,37,at_pickup_point,17.0,34.0
11,38,38,at_pickup_point,23.0,3.0
11,39,39,at_pickup_point,35.0,69.0
11,40,40,at_pickup_point,56.0,39.0
11,41,41,at_pickup_point,63.0,23.0
11,42,42,at_pickup_point,63.0,65.0
11,43,43,at_pickup_point,37.0,56.0
11,44,44,at_pickup_point,30.0,25.0
11,45,45,at_pickup_point,53.0,43.0
11,46,46,at_pickup_point,18.0,18.0
11,47,47,at_pickup_point,65.0,20.0
12,0,0,at_pickup_point,50.0,35.0
12,1,1,at_pickup_point,35.0,17.0
12,2,2,at_pickup_point,45.0,20.0
12,3,3,at_pickup_point,15.0,30.0
12,4,4,at_pickup_point,47.0,16.0
12,5,5,at_pickup_point,15.0,47.0
12,6,6,at_pickup_point,64.0,42.0
12,7,7,at_pickup_point,15.0,10.0
12,8,8,at_pickup_point,27.0,69.0
12,9,9,at_pickup_point,62.0,77.0
12,10,10,at_pickup_point,15.0,60.0
12,11,11,at_pickup_point,10.0,20.0
12,12,12,at_pickup_point,12.0,24.0
12,13,13,at_pickup_point,44.0,17.0
12,14,14,at_pickup_point,26.0,27.0
12,15,15,at_pickup_point,13.0,52.0
12,16,16,at_pickup_point,20.0,65.0
12,17,17,at_pickup_point,4.0,18.0
12,18,18,at_pickup_point,32.0,12.0
12,19,19,at_pickup_point,65.0,55.0
12,20,20,at_pickup_point,47.0,47.0
12,21,21,at_pickup_point,55.0,45.0
12,22,22,at_pickup_point,67.0,5.0
12,23,23,at_pickup_point,40.0,25.0
12,24,24,at_pickup_point,61.0,52.0
12,25,25,at_pickup_point,45.0,30.0
12,26,26,at_pickup_point,20.0,20.0
12,27,27,at_pickup_point,22.0,27.0
12,28,28,at_pickup_point,45.0,10.0
12,29,29,at_pickup_point,25.0,30.0
12,30,30,at_pickup_point,10.0,43.0
12,31,31,at_pickup_point,55.0,60.0
12,32,32,at_pickup_point,26.0,35.0
12,33,33,at_pickup_point,45.0,65.0
12,34,34,at_pickup_point,11.0,31.0
12,35,35,at_pickup_point,65.0,35.0
12,36,36,at_pickup_point,6.0,68.0
12,37,37,at_pickup_point,17.0,34.0
12,38,38,at_pickup_point,23.0,3.0
12,39,39,at_pickup_point,35.0,69.0
12,40,40,at_pickup_point,56.0,39.0
12,41,41,at_pickup_point,63.0,23.0
12,42,42,at_pickup_point,63.0,65.0
12,43,43,at_pickup_point,37.0,56.0
12,44,44,at_pickup_point,30.0,25.0
12,45,45,at_pickup_point,53.0,43.0
12,46,46,at_pickup_point,18.0,18.0
12,47,47,at_pickup_point,65.0,20.0
13,0,0,at_pickup_point,50.0,35.0
13,1,1,at_pickup_point,35.0,17.0
13,2,2,at_pickup_point,45.0,20.0
13,3,3,at_pickup_point,15.0,30.0
13,4,4,at_pickup_point,47.0,16.0
13,5,5,at_pickup_point,15.0,47.0
13,6,6,at_pickup_point,64.0,42.0
13,7,7,at_pickup_point,15.0,10.0
13,8,8,at_pickup_point,27.0,69.0
13,9,9,at_pickup_point,62.0,77.0
